משתנה תלוי,סקלה ,הסבר,,משתנה בלתי תלוי,סקלה ,הסבר,,ממתנים/ מתערבים,סקלה ,הסבר
,,,,,,,,חלק אני רוצה לראות הבדלים בין קבוצות וחלק אני רוצה לראות אם מודל של סוג קבוצה+משתנה מתערב יוצא מובהק,,
Out_em_per2.1.EM.rev,1-7,אמפתיה רגשית לאחר תרחיש כללי,,Group_T2,2 רמות,"1=ביקורת, 2=ניסוי",,poli,1-7,הגדרה עצמית של השקפה פוליטית 1 ימני 7 שמאלני
Out_em_per2.2.EM,1-7,אמפתיה רגשית לאחר תרחיש כללי,,,,,,poli_groped,3 רמות,"1 ימיני, 2 מרכז, 3 שמאלני"
Out_em_per2.3.EM,1-7,אמפתיה רגשית לאחר תרחיש כללי,,,,,,Gender,2 רמות,1 גברים 2 נשים
Out_em_per2.4.COG,1-7,אמפתיה קוגנטיבית לאחר תרחיש כללי,,,,,,Trait_Em_1PT_rev,1-7,פריט אחד מאמפתית בסיס
Out_em_per2.5.COG,1-7,אמפתיה קוגנטיבית לאחר תרחיש כללי,,,,,,Trait_Em_2EC,1-7,פריט אחד מאמפתית בסיס
Out_em_per2.6.COG,1-7,אמפתיה קוגנטיבית לאחר תרחיש כללי,,,,,,Trait_Em_2EC_rev,1-7,פריט אחד מאמפתית בסיס
Out_em_per2.7.MOT,1-7,אמפתיה מוטיבציונית לאחר תרחיש כללי,,,,,,Trait_Em_3PT,1-7,פריט אחד מאמפתית בסיס
Out_em_per2.8.MOT,1-7,אמפתיה מוטיבציונית לאחר תרחיש כללי,,,,,,Trait_Em_4EC,1-7,פריט אחד מאמפתית בסיס
Out_em_per2.9.MOT,1-7,אמפתיה מוטיבציונית לאחר תרחיש כללי,,,,,,Trait_Em_5EC,1-7,פריט אחד מאמפתית בסיס
Out_em_per2_totalMean,רציף,ממוצע של כל פריטי אמפתיה לאחר תרחיש כללי,,,,,,Trait_Em_5EC_rev,1-7,פריט אחד מאמפתית בסיס
Out_em_per2_EmMean,רציף,ממוצע של כל פריטי אמפתיה רגשית לאחר תרחיש כללי,,,,,,Trait_Em_6PT,1-7,פריט אחד מאמפתית בסיס
Out_em_per2_CogMean,רציף,ממוצע של כל פריטי אמפתיה קוגנטיבית לאחר תרחיש כללי,,,,,,Trait_Em_6PT_rev,1-7,פריט אחד מאמפתית בסיס
Out_em_per2_MotMean,רציף,ממוצע של כל פריטי אמפתיה מוטיבציונית לאחר תרחיש כללי,,,,,,Trait_Em_7EC,1-7,פריט אחד מאמפתית בסיס
,,,,,,,,Trait_Em_7EC_rev,1-7,פריט אחד מאמפתית בסיס
,,,,,,,,Trait_Em_8EC,1-7,פריט אחד מאמפתית בסיס
Out_emp_hum2.1.EM.rev,1-7,אמפתיה רגשית לאחר תרחיש פוליטי,,,,,,Trait_Em_9PT,1-7,פריט אחד מאמפתית בסיס
Out_emp_hum2.2.EM,1-7,אמפתיה רגשית לאחר תרחיש פוליטי,,,,,,Trait_Em_10EC,1-7,פריט אחד מאמפתית בסיס
Out_emp_hum2.3.EM,1-7,אמפתיה רגשית לאחר תרחיש פוליטי,,,,,,Trait_Em_11PT,1-7,פריט אחד מאמפתית בסיס
Out_emp_hum2.4.COG,1-7,אמפתיה קוגנטיבית לאחר תרחיש פוליטי,,,,,,Trait_Em_12PT,1-7,פריט אחד מאמפתית בסיס
Out_emp_hum2.5.COG,1-7,אמפתיה קוגנטיבית לאחר תרחיש פוליטי,,,,,,Trait_Em_13EC,1-7,פריט אחד מאמפתית בסיס
Out_emp_hum2.6.COG,1-7,אמפתיה קוגנטיבית לאחר תרחיש פוליטי,,,,,,Trait_Em_14PT,1-7,פריט אחד מאמפתית בסיס
Out_emp_hum2.7.MOT,1-7,אמפתיה מוטיבציונית לאחר תרחיש פוליטי,,,,,,Trait_Em_PTmean,רציף,ממוצע של 7 פריטי אמפתית בסיס של נקודת מבט
Out_emp_hum2.8.MOT,1-7,אמפתיה מוטיבציונית לאחר תרחיש פוליטי,,,,,,Trait_Em_EC_mean,רציף,ממוצע של 7 פריטי אמפתית בסיס של אמפתיה רגשית
Out_emp_hum2.9.MOT,1-7,אמפתיה מוטיבציונית לאחר תרחיש פוליטי,,,,,לבנות משתנה,ממוצע של כל אמפתית בסיס,,ממוצע של שני הפריטים הקודמים
,,,,,,,לבנות משתנה,3 רמות של אמפתית בסיס,,לפי החציון לחלק לשלוש קבוצות- סטיית תקן אחת לכל כיוון (נראה לי)
Out_emp_hum2_totalMean,רציף,ממוצע של כל פריטי אמפתיה לאחר תרחיש פוליטי,,,,,,MEAN_WORSHOP,רציף,חוויה שלהם בסדנא
Out_emp_hum2_EMMean,רציף,ממוצע של כל פריטי אמפתיה רגשית לאחר תרחיש פוליטי,,,,,,Sub_norm_mean,רציף,נורמות לגבי פעולות לעזרת פלסיטנים
Out_emp_hum2_CogMean,רציף,ממוצע של כל פריטי אמפתיה קוגנטיבית לאחר תרחיש פוליטי,,,,,,Attit_mean,רציף,דעה ביחס לפעולות
Out_emp_hum2_MotMean,רציף,ממוצע של כל פריטי אמפתיה מוטיבציונית לאחר תרחיש פוליטי,,,,,,Sys_justi_mean,רציף,הצדקת מערכות ממוצע
,,,,,,,,religiosity,1-7,מידת דתיות
Emp_exp_sent,1 או 2 רק 2 רמות,האם אנשים שלחו הודעה לאדם בתרחיש,,,,,,education,1-7,השכלה
,,,,,,,,income,1-7,הכנסה
,,,,,,,,age,רציף,גיל
,,,,,,,,marital,1-7,מצב משפחתי
,,,,,,,לבנות משתנה,גיל מחולק לקבוצות,שלוש קבוצות,20-35. 36-60. 61-80
,,,,,,,רק עם תרחיש כללי,Out_ass_per2.1,1-7,תרחיש כללי: עד כמה הוא סובל
,,,,,,,רק עם תרחיש כללי,Out_ass_per2.2,1-7,תרחישב כללי עד כמה אחראי למצבו
,,,,,,,רק עם תרחיש כללי,Out_ass_per2.3,1-7,תרחיש כללי עד כמה אני יכול לדמיין מישהו דומה לי במצב הזה
,,,,,,,רק עם תרחיש פוליטי,Out_emp_hum2.1,1-7,תרחיש פוליטי עד כמה סובלת
,,,,,,,רק עם תרחיש פוליטי,Out_ass_hum2.2,1-7,תרחיש פוליטי עד כמה אחראית
,,,,,,,רק עם תרחיש פוליטי,Out_ass_hum2.3,1-7,תרחיש פוליטי עד כמה יכולה לדמיין אדם דומה לי במצבו
